status,statusColor,start,end,stationName,mantisLink,comment
"Data checked by EMPA/NILU. Action needed. Passed deadline!","red","1/1/2013","1/1/2015","Kosetice","http://ebas-feedback.nilu.no/view.php?id=48","EMPA has to comment. CZ has to submit new files. Data needed for EMEP reporting!"
"Data checked by EMPA/NILU. Action needed","red","1/1/2015","1/1/2016","Kosetice","http://ebas-feedback.nilu.no/view.php?id=48","Audit by NILU/EMPA done in November. Data need to be recalculated and resubmitted to EBAS."
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2015","HPB","http://ebas-feedback.nilu.no/view.php?id=27","N/A"
"Data checked by EMPA/NILU. Action needed","orange","1/1/2015","1/1/2016","HPB","http://ebas-feedback.nilu.no/view.php?id=46","final data not received"
"N/A","Orange","1/1/2012","1/1/2015","JFJ","http://ebas-feedback.nilu.no/view.php?id=47","N/A"
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2012","JFJ","http://ebas-feedback.nilu.no/view.php?id=47","N/A"
"Data checked by EMPA/NILU. Action needed","orange","1/1/2015","1/1/2016","JFJ","http://ebas-feedback.nilu.no/view.php?id=47","Revised data to be submitted?"
"Data checked by EMPA/NILU. Action needed. Passed deadline!","red","1/1/2014","1/1/2014","Sirta","http://ebas-feedback.nilu.no/view.php?id=32","Comments needed from FR"
"Data checked by EMPA/NILU. Action needed","orange","1/1/2015","1/1/2016","Sirta","http://ebas-feedback.nilu.no/view.php?id=53","Revised data to be submitted?"
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2015","Zeppelin","http://ebas-feedback.nilu.no/view.php?id=56","N/A"
"Data checked by EMPA/NILU. Action needed","red","1/1/2015","1/1/2016","Zeppelin","http://ebas-feedback.nilu.no/view.php?id=56","Comments needed. Final data not in EBAS."
"Data checked by EMPA/NILU. Action needed. Passed deadline!","red","1/1/2014","1/1/2015","Peyrusse","http://ebas-feedback.nilu.no/view.php?id=31","Corrected data not received. Data needed for EMEP reporting!"
"Data checked by EMPA/NILU. Action needed","orange","1/1/2015","1/1/2016","Peyrusse","http://ebas-feedback.nilu.no/view.php?id=51","FR has to comment."
"Data checked by EMPA/NILU. Action needed. Passed deadline!","red","1/1/2014","1/1/2015","Tardiere","http://ebas-feedback.nilu.no/view.php?id=34","Corrected data not received. Data needed for EMEP reporting!"
"Data checked by EMPA/NILU. Action needed","orange","1/1/2015","1/1/2016","Tardiere","http://ebas-feedback.nilu.no/view.php?id=55","FR has to comment."
"Data checked by EMPA/NILU. Action needed. Passed deadline!","red","1/1/2014","1/1/2015","MtCimone","http://ebas-feedback.nilu.no/view.php?id=43","Last comments from IT needed. Data needed for EMEP reporting!"
"Data checked by EMPA/NILU. Action needed","orange","1/1/2015","1/1/2016","MtCimone","http://ebas-feedback.nilu.no/view.php?id=44","Comments from IT needed"
"Data checked by EMPA/NILU. Action needed. Passed deadline!","red","1/1/2011","1/1/2016","Hyytiala","http://ebas-feedback.nilu.no/view.php?id=33","Comments from FI needed"
"Data checked by EMPA/NILU. Action needed. Passed deadline!","red","1/1/2014","1/1/2015","Auchencorth","http://ebas-feedback.nilu.no/view.php?id=28","Comments needed. Data needed for EMEP reporting!"
"Data checked by EMPA/NILU. Action needed. Passed deadline!","red","1/1/2014","1/1/2015","Harwell","http://ebas-feedback.nilu.no/view.php?id=29","Comments needed. Data needed for EMEP reporting!"
"Final data are in EBAS. Everything is ok","steelblue","1/1/2012","1/1/2016","CapVerde","http://ebas-feedback.nilu.no/view.php?id=44","Files received. NILU needs to transfer data to EBAS"
"No data","grey","1/1/2015","1/1/2016","Auchencorth","http://ebas-feedback.nilu.no/view.php?id=28","No comment added"
"No data","grey","1/1/2015","1/1/2016","Harwell","http://ebas-feedback.nilu.no/view.php?id=29","No comment added"
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2013","Kosetice","http://ebas-feedback.nilu.no/view.php?id=48","N/A"
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2016","Pallas","http://ebas-feedback.nilu.no/view.php?id=50","N/A"
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2016","Rigi","http://ebas-feedback.nilu.no/view.php?id=52","N/A"
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2014","Tardiere","http://ebas-feedback.nilu.no/view.php?id=34","N/A"
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2014","Peyrusse","http://ebas-feedback.nilu.no/view.php?id=31","N/A"
"Final data are in EBAS. Everything ok","steelblue","1/1/2011","1/1/2014","MtCimone","http://ebas-feedback.nilu.no/view.php?id=43","N/A"
